rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0374.jpg,149.6,0.611,0.8652,0.4615,0.2,24,6,False,False
75,frame_0002.jpg,0.8,0.6105,0.832,0.4615,0.28,16,6,False,False
76,frame_0311.jpg,124.4,0.6104,0.7432,0.7692,0.04,28,10,False,False
77,frame_0399.jpg,159.6,0.6096,0.784,0.5385,0.28,20,7,False,False
78,frame_0271.jpg,108.4,0.6089,0.8788,0.5385,0.04,22,7,False,False
79,frame_0000.jpg,0.0,0.6083,0.8879,0.3077,0.36,14,4,False,False
80,frame_0032.jpg,12.8,0.6076,0.876,0.5385,0.04,17,7,False,False
81,frame_0211.jpg,84.4,0.6071,0.7274,0.3846,0.64,10,5,False,False
82,frame_0276.jpg,110.4,0.6065,0.7939,0.5385,0.24,22,7,False,False
83,frame_0368.jpg,147.2,0.6044,0.7775,0.6923,0.04,26,9,False,False
84,frame_0221.jpg,88.4,0.6018,0.7845,0.5385,0.24,18,7,False,False
85,frame_0172.jpg,68.8,0.6013,0.8918,0.3846,0.2,14,5,False,False
86,frame_0389.jpg,155.6,0.6013,0.9399,0.3846,0.08,20,5,False,False
87,frame_0209.jpg,83.6,0.6008,0.761,0.3077,0.64,13,4,False,False
88,frame_0384.jpg,153.6,0.5991,0.6886,0.7692,0.12,24,10,False,False
89,frame_0223.jpg,89.2,0.5989,0.857,0.4615,0.16,18,6,False,False
90,frame_0210.jpg,84.0,0.5979,0.6469,0.4615,0.68,13,6,False,False
91,frame_0230.jpg,92.0,0.5967,0.7762,0.6154,0.12,24,8,False,False
92,frame_0168.jpg,67.2,0.5962,0.7715,0.4615,0.36,17,6,False,False
93,frame_0004.jpg,1.6,0.5957,0.696,0.6923,0.2,16,9,False,False
94,frame_0095.jpg,38.0,0.5946,0.8483,0.4615,0.16,18,6,False,False
95,frame_0379.jpg,151.6,0.5931,0.9395,0.3846,0.04,19,5,False,False
96,frame_0320.jpg,128.0,0.5923,0.8455,0.5385,0.04,22,7,False,False
97,frame_0078.jpg,31.2,0.5883,0.8179,0.3846,0.32,16,5,False,False
98,frame_0072.jpg,28.8,0.588,0.821,0.5385,0.08,19,7,False,False
99,frame_0212.jpg,84.8,0.5833,0.6959,0.3846,0.6,15,5,False,False
100,frame_0089.jpg,35.6,0.583,0.7752,0.3846,0.4,18,5,False,False
101,frame_0228.jpg,91.2,0.5828,0.7804,0.6154,0.04,19,8,False,False
102,frame_0386.jpg,154.4,0.5824,0.918,0.3846,0.04,27,5,False,False
103,frame_0117.jpg,46.8,0.5821,0.8196,0.3077,0.4,18,4,False,False
104,frame_0318.jpg,127.2,0.5811,0.8694,0.4615,0.04,20,6,False,False
105,frame_0274.jpg,109.6,0.5806,0.7741,0.5385,0.16,21,7,False,False
106,frame_0104.jpg,41.6,0.5804,0.8359,0.4615,0.12,17,6,False,False
107,frame_0398.jpg,159.2,0.5793,0.7856,0.4615,0.24,19,6,False,False
108,frame_0119.jpg,47.6,0.5788,0.8272,0.2308,0.48,16,3,False,False
109,frame_0224.jpg,89.6,0.5785,0.7858,0.5385,0.12,21,7,False,False
110,frame_0316.jpg,126.4,0.5775,0.9224,0.3077,0.12,20,4,False,False
111,frame_0272.jpg,108.8,0.5751,0.7029,0.6923,0.08,21,9,False,False
112,frame_0171.jpg,68.4,0.5736,0.7743,0.4615,0.24,15,6,False,False
113,frame_0116.jpg,46.4,0.5693,0.7639,0.3846,0.36,21,5,False,False
114,frame_0332.jpg,132.8,0.5688,0.8448,0.4615,0.04,21,6,False,False
115,frame_0179.jpg,71.6,0.5685,0.8282,0.4615,0.08,20,6,False,False
116,frame_0280.jpg,112.0,0.5677,0.8406,0.3846,0.16,17,5,False,False
117,frame_0397.jpg,158.8,0.5666,0.8685,0.3077,0.2,17,4,False,False
118,frame_0288.jpg,115.2,0.5652,0.8516,0.3846,0.12,17,5,False,False
119,frame_0115.jpg,46.0,0.565,0.725,0.4615,0.32,17,6,False,False
120,frame_0375.jpg,150.0,0.565,0.773,0.4615,0.2,19,6,False,False
121,frame_0100.jpg,40.0,0.5626,0.7861,0.5385,0.04,16,7,False,False
122,frame_0304.jpg,121.6,0.56,0.8535,0.2308,0.32,17,3,False,False
123,frame_0003.jpg,1.2,0.5554,0.784,0.3846,0.24,14,5,False,False
124,frame_0102.jpg,40.8,0.5532,0.8276,0.3846,0.12,19,5,False,False
125,frame_0097.jpg,38.8,0.5531,0.751,0.5385,0.08,18,7,False,False
126,frame_0185.jpg,74.0,0.5514,0.8862,0.3077,0.08,21,4,False,False
127,frame_0289.jpg,115.6,0.5507,0.7925,0.4615,0.08,13,6,False,False
128,frame_0189.jpg,75.6,0.5504,0.7456,0.5385,0.08,18,7,False,False
129,frame_0277.jpg,110.8,0.5482,0.7536,0.3846,0.28,15,5,False,False
130,frame_0204.jpg,81.6,0.548,0.7354,0.3077,0.44,9,4,False,False
131,frame_0295.jpg,118.0,0.5478,0.7084,0.5385,0.16,16,7,False,False
132,frame_0178.jpg,71.2,0.5468,0.8469,0.3846,0.04,21,5,False,False
133,frame_0005.jpg,2.0,0.5463,0.7979,0.3846,0.16,15,5,False,False
134,frame_0315.jpg,126.0,0.5461,0.721,0.5385,0.12,17,7,False,False
135,frame_0325.jpg,130.0,0.5455,0.7519,0.5385,0.04,23,7,False,False
136,frame_0192.jpg,76.8,0.5435,0.7479,0.5385,0.04,15,7,False,False
137,frame_0391.jpg,156.4,0.5428,0.7928,0.4615,0.04,19,6,False,False
138,frame_0208.jpg,83.2,0.5417,0.705,0.2308,0.6,13,3,False,False
139,frame_0170.jpg,68.0,0.5404,0.6919,0.4615,0.28,14,6,False,False
140,frame_0069.jpg,27.6,0.5399,0.7868,0.4615,0.04,22,6,False,False
141,frame_0079.jpg,31.6,0.5399,0.7511,0.3077,0.36,16,4,False,False
142,frame_0113.jpg,45.2,0.5372,0.7477,0.3846,0.24,17,5,False,False
143,frame_0313.jpg,125.2,0.5368,0.6883,0.6154,0.04,16,8,False,False
144,frame_0299.jpg,119.6,0.5366,0.8067,0.2308,0.32,16,3,False,False
145,frame_0278.jpg,111.2,0.5361,0.7454,0.3846,0.24,15,5,False,False
146,frame_0077.jpg,30.8,0.5356,0.6823,0.4615,0.28,17,6,False,False
147,frame_0290.jpg,116.0,0.5355,0.6858,0.6154,0.04,14,8,False,False
148,frame_0308.jpg,123.2,0.5347,0.7746,0.3846,0.16,17,5,False,False
149,frame_0094.jpg,37.6,0.5343,0.8039,0.3077,0.2,14,4,False,False
150,frame_0186.jpg,74.4,0.534,0.9135,0.2308,0.04,20,3,False,False
151,frame_0229.jpg,91.6,0.5335,0.712,0.5385,0.08,21,7,False,False
152,frame_0317.jpg,126.8,0.5335,0.8503,0.3077,0.08,19,4,False,False
153,frame_0333.jpg,133.2,0.5329,0.8031,0.3846,0.08,22,5,False,False
154,frame_0215.jpg,86.0,0.5324,0.642,0.3846,0.48,12,5,False,False
155,frame_0324.jpg,129.6,0.5309,0.7991,0.3846,0.08,17,5,False,False
156,frame_0226.jpg,90.4,0.5308,0.7224,0.5385,0.04,20,7,False,False
157,frame_0174.jpg,69.6,0.5303,0.7357,0.4615,0.12,18,6,False,False
158,frame_0023.jpg,9.2,0.5301,0.7975,0.3846,0.08,14,5,False,False
159,frame_0074.jpg,29.6,0.5282,0.854,0.2308,0.16,18,3,False,False
160,frame_0377.jpg,150.8,0.5281,0.8236,0.3077,0.12,21,4,False,False
161,frame_0091.jpg,36.4,0.5261,0.7396,0.3077,0.32,17,4,False,False
162,frame_0328.jpg,131.2,0.5235,0.7381,0.4615,0.08,24,6,False,False
163,frame_0314.jpg,125.6,0.5217,0.6882,0.5385,0.08,20,7,False,False
164,frame_0396.jpg,158.4,0.5211,0.7474,0.3846,0.16,18,5,False,False
165,frame_0213.jpg,85.2,0.5197,0.5846,0.3846,0.56,12,5,False,False
166,frame_0202.jpg,80.8,0.5193,0.6639,0.3846,0.36,11,5,False,False
167,frame_0293.jpg,117.2,0.5183,0.7738,0.3846,0.08,14,5,False,False
168,frame_0101.jpg,40.4,0.5173,0.7258,0.4615,0.08,18,6,False,False
169,frame_0201.jpg,80.4,0.5154,0.7643,0.2308,0.32,10,3,False,False
170,frame_0273.jpg,109.2,0.5148,0.7508,0.3846,0.12,22,5,False,False
171,frame_0269.jpg,107.6,0.5139,0.7348,0.4615,0.04,15,6,False,False
172,frame_0027.jpg,10.8,0.5123,0.7318,0.4615,0.04,18,6,False,False
173,frame_0098.jpg,39.2,0.5123,0.7318,0.4615,0.04,23,6,False,False
174,frame_0220.jpg,88.0,0.5115,0.6803,0.3846,0.28,15,5,False,False
175,frame_0030.jpg,12.0,0.5109,0.8513,0.2308,0.08,16,3,False,False
176,frame_0205.jpg,82.0,0.51,0.6896,0.2308,0.48,10,3,False,False
177,frame_0006.jpg,2.4,0.5076,0.7365,0.3846,0.12,15,5,False,False
178,frame_0191.jpg,76.4,0.5061,0.7033,0.4615,0.08,18,6,False,False
179,frame_0093.jpg,37.2,0.5019,0.7232,0.3077,0.24,18,4,False,False
180,frame_0167.jpg,66.8,0.5019,0.7054,0.2308,0.4,21,3,False,False
181,frame_0287.jpg,114.8,0.5016,0.6783,0.4615,0.12,14,6,False,False
182,frame_0305.jpg,122.0,0.5013,0.706,0.3077,0.28,13,4,False,False
183,frame_0184.jpg,73.6,0.5007,0.6924,0.4615,0.08,18,6,False,False
184,frame_0112.jpg,44.8,0.4973,0.7761,0.2308,0.2,16,3,False,False
185,frame_0214.jpg,85.6,0.4958,0.6452,0.2308,0.52,12,3,False,False
186,frame_0022.jpg,8.8,0.4952,0.836,0.2308,0.04,12,3,False,False
187,frame_0292.jpg,116.8,0.4942,0.7878,0.3077,0.04,15,4,False,False
188,frame_0216.jpg,86.4,0.4939,0.581,0.3846,0.44,10,5,False,False
189,frame_0031.jpg,12.4,0.4933,0.6778,0.4615,0.08,17,6,False,False
190,frame_0367.jpg,146.8,0.4927,0.6764,0.4615,0.08,21,6,False,False
191,frame_0076.jpg,30.4,0.4909,0.7474,0.2308,0.24,18,3,False,False
192,frame_0017.jpg,6.8,0.4891,0.7615,0.3077,0.08,16,4,False,False
193,frame_0195.jpg,78.0,0.4889,0.7612,0.3077,0.08,14,4,False,False
194,frame_0183.jpg,73.2,0.486,0.6791,0.4615,0.04,19,6,False,False
195,frame_0306.jpg,122.4,0.4821,0.5913,0.4615,0.24,19,6,False,False
196,frame_0029.jpg,11.6,0.4814,0.7621,0.3077,0.04,16,4,False,False
197,frame_0019.jpg,7.6,0.4807,0.6986,0.3846,0.08,10,5,False,False
198,frame_0203.jpg,81.2,0.48,0.6153,0.3077,0.4,12,4,False,False
199,frame_0281.jpg,112.4,0.477,0.6753,0.3846,0.12,16,5,False,False
200,frame_0200.jpg,80.0,0.4757,0.7009,0.2308,0.28,8,3,False,False
201,frame_0378.jpg,151.2,0.4745,0.7785,0.2308,0.08,17,3,False,False
202,frame_0181.jpg,72.4,0.4705,0.648,0.4615,0.04,22,6,False,False
203,frame_0296.jpg,118.4,0.4703,0.676,0.3077,0.2,15,4,False,False
204,frame_0025.jpg,10.0,0.4679,0.657,0.3846,0.12,17,5,False,False
205,frame_0390.jpg,156.0,0.4658,0.7149,0.3077,0.08,18,4,False,False
206,frame_0190.jpg,76.0,0.463,0.6011,0.4615,0.12,18,6,False,False
207,frame_0071.jpg,28.4,0.457,0.6673,0.3846,0.04,17,5,False,False
208,frame_0298.jpg,119.2,0.4535,0.7028,0.1538,0.28,13,2,False,False
209,frame_0175.jpg,70.0,0.4528,0.6889,0.3077,0.08,17,4,False,False
210,frame_0176.jpg,70.4,0.4498,0.7452,0.2308,0.04,19,3,False,False
211,frame_0106.jpg,42.4,0.4491,0.6053,0.4615,0.04,19,6,False,False
212,frame_0105.jpg,42.0,0.4474,0.5858,0.4615,0.08,18,6,False,False
213,frame_0282.jpg,112.8,0.4471,0.6775,0.3077,0.08,14,4,False,False
214,frame_0286.jpg,114.4,0.4468,0.6769,0.3077,0.08,15,4,False,False
215,frame_0198.jpg,79.2,0.4458,0.5809,0.3846,0.2,10,5,False,False
216,frame_0388.jpg,155.2,0.4438,0.7332,0.2308,0.04,19,3,False,False
217,frame_0297.jpg,118.8,0.4437,0.6068,0.3077,0.24,12,4,False,False
218,frame_0285.jpg,114.0,0.4432,0.732,0.2308,0.04,11,3,False,False
219,frame_0114.jpg,45.6,0.4406,0.5845,0.3077,0.28,16,4,False,False
220,frame_0279.jpg,111.6,0.4321,0.6458,0.2308,0.2,16,3,False,False
221,frame_0283.jpg,113.2,0.4303,0.66,0.3077,0.04,14,4,False,False
222,frame_0020.jpg,8.0,0.4293,0.7504,0.1538,0.04,10,2,False,False
223,frame_0073.jpg,29.2,0.4292,0.6719,0.2308,0.12,15,3,False,False
224,frame_0268.jpg,107.2,0.4245,0.6786,0.2308,0.08,13,3,False,False
225,frame_0016.jpg,6.4,0.4229,0.6914,0.2308,0.04,13,3,False,False
226,frame_0075.jpg,30.0,0.4197,0.6671,0.1538,0.2,17,2,False,False
227,frame_0007.jpg,2.8,0.4184,0.6664,0.2308,0.08,13,3,False,False
228,frame_0294.jpg,117.6,0.394,0.6015,0.2308,0.12,15,3,False,False
229,frame_0026.jpg,10.4,0.3931,0.5696,0.3077,0.08,15,4,False,False
230,frame_0014.jpg,5.6,0.3825,0.6568,0.1538,0.04,11,2,False,False
231,frame_0199.jpg,79.6,0.3689,0.5033,0.2308,0.24,13,3,False,False
232,frame_0173.jpg,69.2,0.3683,0.5803,0.1538,0.16,12,2,False,False
233,frame_0010.jpg,4.0,0.3663,0.532,0.3077,0.04,11,4,False,False
234,frame_0008.jpg,3.2,0.3649,0.6215,0.1538,0.04,11,2,False,False
235,frame_0194.jpg,77.6,0.3616,0.5226,0.3077,0.04,13,4,False,False
236,frame_0196.jpg,78.4,0.3574,0.4821,0.3077,0.12,9,4,False,False
237,frame_0267.jpg,106.8,0.3433,0.5463,0.1538,0.12,12,2,False,False
238,frame_0012.jpg,4.8,0.332,0.4314,0.3077,0.12,11,4,False,False
239,frame_0013.jpg,5.2,0.3241,0.6161,0.0,0.08,11,0,False,False
240,frame_0197.jpg,78.8,0.3223,0.4421,0.2308,0.16,11,3,False,False
241,frame_0376.jpg,150.4,0.3158,0.5676,0.0,0.16,19,0,False,False
242,frame_0011.jpg,4.4,0.2897,0.5013,0.0769,0.08,9,1,False,False
243,frame_0024.jpg,9.6,0.2792,0.4642,0.0769,0.12,15,1,False,False
244,frame_0018.jpg,7.2,0.2545,0.4149,0.0769,0.12,13,1,False,False
