rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0387.jpg,154.8,0.7241,0.8683,0.8333,0.2,9,5,False,True
2,frame_0009.jpg,3.6,0.714,0.9279,0.1667,1.0,2,1,False,True
3,frame_0033.jpg,13.2,0.7127,0.6253,0.6667,1.0,7,4,False,True
4,frame_0008.jpg,3.2,0.6763,0.8525,0.1667,1.0,3,1,False,False
5,frame_0028.jpg,11.2,0.6758,0.8515,0.1667,1.0,3,1,False,True
6,frame_0021.jpg,8.4,0.6729,0.5458,0.6667,1.0,4,4,False,True
7,frame_0291.jpg,116.4,0.6663,0.6967,0.5,0.84,6,3,False,True
8,frame_0284.jpg,113.6,0.6653,0.8066,0.5,0.56,6,3,False,True
9,frame_0177.jpg,70.8,0.6597,0.8393,0.6667,0.2,5,4,False,True
10,frame_0319.jpg,127.6,0.6557,0.6994,0.8333,0.28,7,5,False,True
11,frame_0070.jpg,28.0,0.6538,0.7077,0.3333,1.0,5,2,False,True
12,frame_0321.jpg,128.4,0.6516,0.6231,1.0,0.2,7,6,False,False
13,frame_0015.jpg,6.0,0.6502,0.7004,0.3333,1.0,4,2,False,True
14,frame_0014.jpg,5.6,0.6485,0.5971,0.5,1.0,4,3,False,False
15,frame_0173.jpg,69.2,0.6462,0.7484,0.6667,0.36,6,4,False,False
16,frame_0193.jpg,77.2,0.6462,0.5964,1.0,0.24,6,6,False,True
17,frame_0176.jpg,70.4,0.6329,0.6698,0.8333,0.24,6,5,False,False
18,frame_0069.jpg,27.6,0.6295,0.659,0.3333,1.0,5,2,False,False
19,frame_0368.jpg,147.2,0.6279,0.8398,0.6667,0.04,9,4,False,False
20,frame_0077.jpg,30.8,0.6278,0.7037,0.3333,0.88,7,2,False,False
21,frame_0002.jpg,0.8,0.6188,0.5377,0.5,1.0,7,3,False,False
22,frame_0074.jpg,29.6,0.6141,0.5283,0.5,1.0,7,3,False,False
23,frame_0210.jpg,84.0,0.6126,0.8532,0.1667,0.68,2,1,False,False
24,frame_0068.jpg,27.2,0.6075,0.5149,0.5,1.0,3,3,False,False
25,frame_0215.jpg,86.0,0.606,0.7201,0.5,0.48,3,3,False,False
26,frame_0132.jpg,52.8,0.6015,0.603,0.3333,1.0,6,2,False,False
27,frame_0013.jpg,5.2,0.601,0.502,0.5,1.0,3,3,False,False
28,frame_0076.jpg,30.4,0.5978,0.6276,0.3333,0.92,8,2,False,False
29,frame_0378.jpg,151.2,0.5963,0.7606,0.6667,0.08,9,4,False,False
30,frame_0167.jpg,66.8,0.5918,0.6436,0.5,0.6,6,3,False,False
31,frame_0379.jpg,151.6,0.5903,0.7646,0.6667,0.04,10,4,False,False
32,frame_0089.jpg,35.6,0.5885,0.617,0.6667,0.4,5,4,False,False
33,frame_0220.jpg,88.0,0.5866,0.8613,0.3333,0.28,2,2,False,False
34,frame_0000.jpg,0.0,0.5838,0.5677,0.3333,1.0,7,2,False,False
35,frame_0133.jpg,53.2,0.5827,0.5654,0.3333,1.0,7,2,False,False
36,frame_0127.jpg,50.8,0.5821,0.5442,0.5,0.8,5,3,False,False
37,frame_0084.jpg,33.6,0.5815,0.7231,0.3333,0.6,3,2,False,False
38,frame_0231.jpg,92.4,0.5757,0.7875,0.5,0.16,8,3,False,False
39,frame_0299.jpg,119.6,0.5756,0.6432,0.5,0.52,5,3,False,False
40,frame_0129.jpg,51.6,0.5751,0.6982,0.1667,0.88,4,1,False,False
41,frame_0168.jpg,67.2,0.5684,0.6128,0.5,0.56,5,3,False,False
42,frame_0073.jpg,29.2,0.5631,0.6261,0.1667,1.0,6,1,False,False
43,frame_0226.jpg,90.4,0.5617,0.8075,0.5,0.04,3,3,False,False
44,frame_0095.jpg,38.0,0.5616,0.6592,0.6667,0.16,7,4,False,False
45,frame_0106.jpg,42.4,0.5616,0.8072,0.5,0.04,7,3,False,False
46,frame_0005.jpg,2.0,0.5614,0.5228,0.3333,1.0,5,2,False,False
47,frame_0016.jpg,6.4,0.561,0.4219,0.5,1.0,4,3,False,False
48,frame_0017.jpg,6.8,0.561,0.5221,0.3333,1.0,4,2,False,False
49,frame_0078.jpg,31.2,0.5609,0.5859,0.3333,0.84,6,2,False,False
50,frame_0081.jpg,32.4,0.5608,0.6337,0.3333,0.72,3,2,False,False
51,frame_0031.jpg,12.4,0.5574,0.5149,0.3333,1.0,5,2,False,False
52,frame_0020.jpg,8.0,0.5546,0.6091,0.1667,1.0,4,1,False,False
53,frame_0024.jpg,9.6,0.5474,0.6948,0.0,1.0,1,0,False,False
54,frame_0230.jpg,92.0,0.5473,0.8467,0.3333,0.12,9,2,False,False
55,frame_0124.jpg,49.6,0.5448,0.6176,0.3333,0.68,6,2,False,False
56,frame_0330.jpg,132.0,0.5444,0.7728,0.5,0.04,7,3,False,False
57,frame_0114.jpg,45.6,0.5437,0.6754,0.5,0.28,6,3,False,False
58,frame_0294.jpg,117.6,0.543,0.598,0.3333,0.72,5,2,False,False
59,frame_0229.jpg,91.6,0.5429,0.7538,0.5,0.08,8,3,False,False
